GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
customer-order,com.app.mapper,OrderMapper,76,0,2,0,20,0,4,0,3,0
customer-order,com.app.mapper,UserMapper,22,21,2,0,7,6,2,2,1,2
customer-order,com.app.mapper,BaseMapper,57,9,4,0,13,3,7,1,5,1
customer-order,com.app.mapper,CustomerMapper,51,0,2,0,15,0,4,0,3,0
customer-order,com.app.entity,BaseEntity,3,14,0,0,1,6,1,4,1,4
customer-order,com.app.entity,CustomerEntity,99,0,8,0,25,0,16,0,12,0
customer-order,com.app.entity,UserEntity,3,42,5,5,1,11,5,6,0,6
customer-order,com.app.entity,OrderEntity,31,0,0,0,13,0,9,0,9,0
customer-order,com.app.dto,BaseDTO,0,17,0,0,0,7,0,5,0,5
customer-order,com.app.dto,Customer,24,0,0,0,10,0,7,0,7,0
customer-order,com.app.dto,Order,31,0,0,0,13,0,9,0,9,0
customer-order,com.app.dto,User,0,17,0,0,0,7,0,5,0,5
customer-order,com.app.util,ViewScope,36,0,2,0,11,0,7,0,6,0
customer-order,com.app.util,Currency,78,0,0,0,7,0,4,0,4,0
customer-order,com.app.managedbean,OrderBean,105,0,4,0,30,0,12,0,10,0
customer-order,com.app.managedbean,UserBean,63,0,4,0,18,0,7,0,5,0
customer-order,com.app.managedbean,CustomerBean,72,0,0,0,20,0,7,0,7,0
customer-order,com.app.entity.embeddable,Amount,17,0,0,0,7,0,5,0,5,0
customer-order,com.app.service,BaseService,35,0,0,0,6,0,4,0,4,0
customer-order,com.app.service.impl,OrderServiceImpl,17,0,0,0,4,0,4,0,4,0
customer-order,com.app.service.impl,CustomerServiceImpl,17,0,0,0,4,0,4,0,4,0
customer-order,com.app.service.impl,UserServiceImpl,17,0,0,0,4,0,4,0,4,0
customer-order,com.app.config,PersistanceContext,106,0,0,0,22,0,5,0,5,0
customer-order,com.app.config,AspectLogConfig,44,0,0,0,9,0,3,0,3,0
